,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,270066.2543906614,41130.29619600057,8432553.05877102,31180447.28252308,129117990.24280517,234686174.39036572,352373686.8214851,486029032.2639773,214793673.306666,64843081.10032887,1623700.6886934394,1785861.827408307,198798.11996504533,1349794.1149010903,6004777.31304304,23185128.075182978,114602515.58977088,239612765.15406603,496414951.6793727,434405285.48312867,244553547.81312093,39846328.8396164,2028874.5561398645,1690460.0605636416,303572.9883412417,863357.6251452913,3848050.815490705,28768257.327369023,84214321.57906812,206230143.32776085,408703641.05525345,367255087.81098336,255392615.1151093,98007105.68498793,3126044.470262786,1164572.040396364,259905.68598136792,615915.0425746876,13808619.876358151,47791963.92507494,111649761.81848587,306982494.12899405,440502603.88959765,605180265.4558036,309008301.8642404,75162047.12893309,4185495.232151635,1438443.022133593,150061.8549529639,2078254.2178064177,9391820.244544184,51790493.22627132,61756959.747455366,219589253.27942476,392391502.81233525,422159536.9081422,201756456.1558272,39135481.9493963,4255896.6225358145,933885.3732516571,289067.9543218037,733355.8001450828,6004923.583629846,31437138.58126653,85712164.32099326,232617672.22709712,348135297.84612685,412371886.7434668,316022176.4179353,38325892.27114081,2214972.4727450926,142259.47202095462,270055.302345485,1790510.9926003756,3031046.853577004,27492882.330551405,102802264.92126144,231558416.32962033,369871371.89032614,472161997.1832889,357158981.0704376,118127672.45358166,335527.5773804191,908647.6930884981,300221.50829646876,129656.17137310015
1,1219186.4449151284,59766.626436037586,17071135.034418777,69563297.93333724,220530071.69059414,390887422.8366055,506935305.4600541,756340629.9719212,385012915.5898154,123148046.38989295,3273355.029242925,3398080.3156113066,250614.03636267217,2351294.3091930584,18704415.236267157,47720865.429699376,215349805.25725746,379171065.7014453,707493062.2872357,671229783.014848,415665889.7765456,72819160.35122387,7370799.269511333,2441044.5243519703,580145.6400695198,2594794.680115641,9299143.675126515,71080793.61772837,141261558.57227665,358960046.04323107,591285565.5489377,586594904.9968133,427793671.4211987,143458325.76270837,4353105.695948723,1887392.369263328,602806.346272568,3863587.906407806,30066971.221854534,92166948.38974826,210946737.28393096,472080274.49233365,641333570.4420927,953647442.6545255,503029071.39599454,132561725.29937845,9689084.400187941,3121628.492666473,435636.9852994986,5720079.750119987,24278535.808433156,132409716.74285676,144624939.03517944,336316832.93544286,570498331.538385,645478295.1394678,323180787.7913316,69096604.74008745,15577750.356998317,1781365.3913285444,769143.5008885603,2134968.8878047043,19313550.403093673,69206951.66085333,156784917.63079938,377114997.9435674,497817956.2446992,602392463.6356536,535941924.8786991,76041085.20171222,4101885.9485852635,269276.5489184913,774835.2563443348,3981063.299193476,12046824.183024526,59177420.217853464,193117897.8792431,385760083.1280881,525197915.6964058,708264206.4359219,620431020.9464738,228689404.6292137,647065.3349667564,1090582.9032672353,621070.1581511463,327877.3184136592
2,2471327.4504843457,180667.12031555898,29329016.7872987,121294989.90087543,286976010.3753464,492981902.04462343,580667441.6614039,873047494.2510371,485602996.5735758,174323354.86516866,6661730.177930651,4727277.54573501,267460.29771792714,3223324.4065798796,29989725.841794778,75581319.51967047,300435695.53101385,472799656.26428896,765272088.7479087,784403348.2798073,526833265.00599796,98212499.58933264,12871875.95955609,2919410.1299463115,1093730.4017440442,4861480.86228029,19242885.22895109,128705354.16795501,193556739.48140624,441319615.3602796,690899957.5393113,712340345.7737602,517312033.4821276,177089778.23155072,7165842.482446402,2473838.605205503,1085634.6707315198,13702912.68183721,42908291.05422999,132419122.91043042,265443988.90460873,584663408.4236921,721364893.6853387,1131862535.399644,639463829.8525897,179633989.55567205,19748771.14419142,5192381.942930325,811014.4705077087,9032884.298184304,45215838.0178782,201649214.2289076,211195017.42545283,399284580.7177647,684295908.4830974,781613289.9804896,387578273.087014,118502155.10874338,30475377.276848946,3927647.0820573615,2060194.2519482512,5615462.289320657,39632036.60012058,110371211.02546722,222218264.73299244,453575856.2118143,582268849.3571053,689752151.2401687,665030622.1839811,108068749.35302544,10552528.454912687,1910078.3234565211,1517677.5235612884,7141273.274556096,25513708.05564675,97347157.56592803,274251691.7057132,485509939.74719435,604626498.5976541,804627610.3146642,759295615.3372796,300111128.03543633,2790938.285087174,1175785.508922179,815199.1095048467,982729.9484862249
3,4955400.364416809,180667.12031555898,42965140.27115513,167821832.11396882,340017932.4156047,556743914.1393657,619502329.7037987,911854595.9132807,543111620.2893993,217252846.94132406,11351948.553492256,5126059.380379738,571423.3654507399,3403578.6900696936,46403959.227734104,115406140.7206986,355652008.39284647,526135147.2923218,795867120.3411937,816448470.5848796,590752043.0819186,115111149.24705034,21094368.913641643,4097875.3578080996,2846416.259249242,6974204.599496501,31917659.222097028,196520716.81377825,234870089.997051,490564206.05126035,751141750.5109456,763064450.185528,562695075.5183587,214774354.99997386,16634803.548040751,3888811.0997345755,2016731.1565933814,25780645.345203392,54336839.18303156,170726195.39568394,304261836.60827893,652219739.4598762,748330084.6907928,1175815667.821676,732662491.9326584,216007809.76212606,39580027.70664381,8074804.130249331,1987245.6312530271,13451720.775101637,59839026.42042463,259458776.32149905,244564830.7854302,435600664.14800835,746046871.9424064,845559064.1937584,430438118.32778585,154715179.06467053,50827485.806829736,6409404.661364334,5884956.014698223,10287369.78947814,58907755.69253329,145233007.98857796,273956568.8860167,495555419.706521,628260606.9898623,723242936.9021455,736790101.1125933,146006949.16933343,17396009.319584902,4396113.430123897,4694432.580981619,10945171.04270342,48895518.51994017,125065703.18066928,334536599.34338033,541790643.9630286,646453997.8444016,830963408.7270359,840833736.4942006,343750222.4304245,4976537.991563743,1275317.8996289303,1106550.6774804015,4262675.367440774
4,9691468.489876317,1456346.3554510525,59373338.42644897,217988215.05124047,385637218.09508294,603917081.8350881,652293191.2961342,939394122.3434719,594191777.2610415,246751355.04085472,17382346.472530264,5480493.206290205,1717278.5797278762,6516103.6272740355,71813287.83325905,180179833.30994552,403842942.2672692,566618625.496844,820054582.0972656,831277226.2739295,636706589.9667829,132590883.69034168,31333952.13677303,7121225.662433336,5492382.348025239,10241155.36358423,51335278.86912489,262736575.17161685,276543710.608774,528143473.4138989,804119558.9327031,786944630.7446548,598427883.9168508,263066140.5998616,31093489.777108703,5796300.258391648,2709700.7164526437,37268818.521293744,66427408.61704948,218376512.54712218,341476184.19081867,704557864.5447764,768158159.361797,1196737356.34197,800767227.7541776,260620222.1484073,63285061.09802537,11656431.905845607,5039913.134256317,22281420.768992446,77019479.36986344,306194913.2033865,270753146.42419964,456099216.73655987,786031873.8972815,872635637.5682446,480791598.1467359,193135621.04028,70119015.67849404,8986138.360435847,10499088.91893437,16754804.620900065,80763430.2491054,181736083.9337447,317958659.5308128,528387303.16329724,652821647.9238414,737892487.0413946,785146767.4195173,196498072.2237738,29290349.332552925,7911829.077681951,9935100.15355142,15096852.9478332,77593951.47859548,146665857.22021133,392071358.63541925,580149349.8749907,674211281.2339154,843374175.6954429,899500496.1142762,394501764.2621963,9397894.707095861,2732601.270364102,2259379.6985346014,8922776.067722393
5,82674.14323997033,7769.361537286994,1106098.8395581904,17466392.674242657,73868569.77310535,154392940.24973065,199894627.6145159,217700367.73242742,114393563.91848508,39261891.963393,358299.4354937216,1471304.7936360177,58889.39147001194,486673.86056120566,3089588.506768228,10790871.375588547,71623522.86921947,135808012.74532396,248103547.0581468,254852523.96902084,130735624.48160441,19701252.847563036,42969.14242361728,740695.4207382654,87214.787268105,968559.6022383614,2553799.2043874008,20243307.680906408,51835870.991756335,103932885.92746738,201686631.94601968,220132981.60831192,167439511.46977907,64581862.42762261,1190245.1729887554,639525.0270045591,115365.59620240268,1971367.539724237,7162384.891469932,22460911.712477542,69887782.60481937,178718772.07433203,243804275.5439543,312318582.1617648,212664184.76409584,37010808.94162823,333876.3975800008,1180277.1402560964,104322.99062810886,1384795.4482626668,5652587.505161727,39229482.023887604,64644192.86992525,107114667.99540153,265374543.47084835,228694923.28575793,143775267.52521232,18318315.842702,2125915.650038538,231328.31904007215,157663.7498917234,1215960.4666830099,2666226.792221457,30972784.08276147,64540348.85019265,141059956.6713448,268065254.94843107,299676180.3101806,156183124.55942005,28984274.700672787,635961.6194014116,702349.5747663076,137349.35801340934,1029357.5128957115,1144525.2995894132,14503700.143817943,36369615.82386169,120134127.72844037,220608142.81533408,253140177.3200555,168309710.27616304,47194144.18028121,32935.616825858684,106320.20099801554,79717.64152239854,254889.81212194936
6,319378.31513599464,7769.361537286994,2913571.6133730304,32513977.54096494,121911540.69090423,243636544.89095467,280802847.65733796,317063655.89033866,174875248.57252917,64139350.572671674,515788.014236535,2603431.223754924,67666.22205237814,781745.8496823811,6857021.972150066,20384749.144580707,112500310.38305059,198580652.51795185,349217159.0726136,373627545.056016,205389752.55552784,31492446.55038699,670666.8460066218,1130553.2260591835,183348.18674470508,1785885.0719040898,5761694.430231215,35478406.782486446,87557706.0407991,147953207.44784787,282993993.890793,324992391.1222234,248156344.72380242,95897031.57304317,2495423.1097017075,888270.1565136678,188827.37630442128,3987566.5919319214,14114356.334145496,41560977.25795778,116287916.61242543,249794289.53491765,353452941.336959,452199382.8145871,316295039.6648208,65144822.99858155,1296422.8407201641,2160195.338751732,212173.72645024132,2557639.5592625253,10749138.05528743,70461441.12400207,107688484.66529399,164467999.42727336,384413739.45229673,337715840.91881037,210522859.47531712,32394954.407783363,5719004.745961579,308927.94637997774,271641.6840450574,2206253.425960851,4639918.6448146915,50900977.472503014,105624379.00592285,205774925.6724414,395690271.57979804,397318563.8345322,241898694.81822902,49110540.7853358,1017875.2333523793,1211795.8381583095,318551.83773144596,2011958.1435352054,3255943.0920073697,29027348.09309119,62870111.29021525,184752508.5397968,311226439.0489184,355818973.44245315,273232098.5240755,76542525.1017168,123351.77135221909,112641.25947982672,193554.201732365,382659.3352857438
7,1657155.2701189627,113397.00124058097,13855170.718836533,96731019.17740192,266994217.51057371,503282768.2451023,463967936.4295815,578150806.3456539,358544335.9202818,151355341.07309374,2786322.346913037,5144827.151591206,124241.59705502201,1435326.6291649307,23001524.635901842,71673961.23473917,252598664.45519754,390233283.9676157,554540798.9767439,628216478.400349,416899995.86118466,73328137.873292,2927909.0919680865,2008678.5914630445,456399.100004867,4429622.043653748,20410695.701914996,107262688.79153827,206317449.64208633,316750971.9112796,488903902.0875606,583793273.6067172,432744332.4524658,186633909.98807275,7176853.544351864,1780157.124281269,489052.4773203201,11516939.115927974,38159222.32388714,116738847.88074738,251572373.63510838,475924285.779315,582330242.1358302,786186717.0543066,604064474.2257847,159405934.05969393,7111699.39977113,4833049.061544278,1127330.0619275977,6795037.878806568,34708394.01958854,179936168.01391128,249705361.0878147,325039848.502382,677879686.0283955,610642384.6473367,359851514.2863827,86555214.88373525,21255581.23038067,1251683.996477777,908489.3447219395,5255598.055361501,21678323.93410822,128730872.45923862,223556263.6754697,387618538.74212736,644798540.8844813,593247544.1805946,459197688.08598036,110363124.00218369,3546922.2631981703,3209028.884733047,1270655.2905956095,5623223.477993434,14672316.306373518,98942945.33092116,164626873.54433948,397496263.22465795,536732528.0814701,587239038.4381914,575449514.0602306,181443740.40996292,1214955.4983369934,151172.86511950445,483062.07503080583,1725376.687513501
8,1902575.0673552367,125432.29081685739,15246828.735733882,103418090.94852814,280149400.2316735,528529933.67127454,480959391.6455846,595114264.7323751,376081764.42638963,160622111.67707136,3208923.897310019,5282810.581441523,132126.1475329015,1461037.253968241,25852838.394703846,78785179.64400841,267677708.57847005,405551934.04342043,568818704.3557616,643698992.0473847,434051497.7468919,76727662.29959488,3341174.6915588984,2110483.6896318467,522128.82389831933,4551037.367627328,22253692.308394123,116996220.59801652,217649105.86240998,333805148.8023797,504911862.85374564,600136945.134189,443578843.57490325,197589704.02170166,7903119.1254434185,1858758.6120645553,495214.5202406684,12513637.31869335,40166631.69579841,126605709.69804952,263886879.75829437,499203302.88630545,598441976.9660296,809354643.8901608,626364346.9496869,167091003.3156362,7882670.45577456,4929196.235810255,1341086.0873348587,7374166.222213524,38255915.48194368,189736873.76963365,262578160.94039038,338316204.45372987,706944660.573805,631622658.3570913,369294730.2415685,93380094.9283415,22959237.013903964,1545510.8327910367,1088919.2474123458,5723183.134992485,24193844.80707035,136627106.6468385,235458938.1981901,402668324.7366969,665958962.94333,606158084.1066967,476828451.74674773,117180373.6664132,3740633.958521037,3509381.184345079,1489538.4177957405,6197039.115759736,16466940.177439978,108072502.1657963,175254336.78813913,416093744.2367752,555390849.8445796,602454411.994594,599721042.7376335,195813625.1130703,1425377.9087044809,152465.35458171883,565171.7188631136,1960444.4411647886
9,135942.64581125058,8640.016909015067,2566143.995159955,27941111.278361216,76431605.3540506,114020563.15194716,133636957.49891321,193502307.3913231,122667760.73375542,36203777.18610511,181117.5616247668,392271.1619516947,16954.469767617484,111624.92501297865,1798557.4444997387,10581338.272322549,90329183.06629463,124156847.32920757,168107799.40438503,182212051.92092606,127437072.5942393,13306788.585996969,0.0,23102.287799732665,38464.739944981215,602018.6305235542,7627388.517000157,20847712.783718586,65634203.059035994,84110263.10828508,122477082.52056018,198030956.78700778,141435988.55673534,60111590.108351015,177047.12493608866,130392.05396646117,92.12514254937743,1694905.8928713321,6998354.098168,33970233.75794635,88405901.4685631,102294520.86213507,149872787.22968587,258692465.22165552,172712867.86367747,24751304.203958698,2212684.900396431,343730.6488260614,215111.21979472123,1274403.4941871443,3371741.2906681974,52103458.51007169,79133538.5835559,100709598.46416718,172505506.29954275,174608954.69676706,132161805.68555063,17985068.268237498,7335870.124281302,4822.461658846292,163533.42263909554,1978497.8784727652,5216875.664986439,20302803.43650592,72271217.32546474,129341177.02331105,203006770.82781932,193234065.10336906,135835776.7628654,28822673.601433102,437704.26592865615,32434.41601683768,218209.03001370266,1277198.119705574,682277.4031487391,11410135.544746472,61527937.99448599,87517330.32215741,139903787.23340684,172014016.80148003,146384289.2751757,41601016.29406371,204555.5789268986,125690.22875094062,84519.14406273024,758392.9924055682
